instance,current_inapp_mrr,stations,station_source,new_rev_at_10_per_st,delta
rickscleaners,2648.6,40,doc,400,-2248.6
crest,2023.2,28,est,280,-1743.2
prestigecleaners,1622.6,18,est,180,-1442.6
faziocleaners,1366.1,22,est,220,-1146.1
aonedryclean,1294.2,11,est,110,-1184.2
countryclubcleaners,1109.6,8,est,80,-1029.6
dosummers,1109.6,40,doc,400,-709.6
smartwashlaundrycenter,1109.6,8,doc,80,-1029.6
sudsies,1042.4,8,est,80,-962.4
caatinc,1033.0,9,doc,90,-943.0
americancleanersmiddletown,981.35,8,doc,80,-901.35
fabricarecenter,981.35,14,doc,140,-841.35
kingbridge,981.35,5,est,50,-931.35
kitescleaners,981.35,5,doc,50,-931.35
drycleannyc,974.0,2,doc,20,-954.0
helenascleaners,934.4,22,doc,220,-714.4
benzingers,929.7,19,doc,190,-739.7
bridgestonecleaners,929.7,5,est,50,-879.7
carrscleaners,929.7,4,doc,40,-889.7
curtiscleaners,929.7,8,doc,80,-849.7
camelotcleaners,898.0,4,doc,40,-858.0
kimscleanersaustin,898.0,6,doc,60,-838.0
ridgecleaners,898.0,9,doc,90,-808.0
tigercleaners,898.0,8,est,80,-818.0
arrowfabricare,853.1,27,est,270,-583.1
goodwinsglamorama,853.1,4,doc,40,-813.1
metrodrycleaning,853.1,7,doc,70,-783.1
molinekronberg,853.1,5,doc,50,-803.1
scanlons,853.1,6,doc,60,-793.1
capecleaners,826.4,4,doc,40,-786.4
captkcleans,808.2,4,doc,40,-768.2
carrscleaners2,808.2,3,doc,30,-778.2
europeancleaners,808.2,9,doc,90,-718.2
judiscleaners,808.2,9,doc,90,-718.2
paolettiscleaners,808.2,11,doc,110,-698.2
tscwetclean,808.2,1,doc,10,-798.2
pleats,718.4,4,est,40,-678.4
thewadecompanies,704.0,8,doc,80,-624.0
alpinecleaners,599.0,6,doc,60,-539.0
appearanceplus,599.0,8,est,80,-519.0
arthursexecutivecleaners,599.0,5,doc,50,-549.0
burkecleaners,599.0,30,doc,300,-299.0
cleanclothesdrycleaners,599.0,3,doc,30,-569.0
corryscleaning,599.0,16,doc,160,-439.0
courtesycleaners,599.0,15,est,150,-449.0
fashioncleanersoh,599.0,5,est,50,-549.0
feigenbaumcleaners,599.0,11,doc,110,-489.0
frejatenterprises,599.0,9,doc,90,-509.0
freshcleanseattle,599.0,1,doc,10,-589.0
freshdrycleaning,599,4,doc,40,-559
frontiercleanersaz,599.0,3,doc,30,-569.0
galaxycleanersaz,599.0,4,doc,40,-559.0
janetdaviscleaners,599.0,6,est,60,-539.0
kingdrycleaners,599.0,4,est,40,-559.0
mastercleanersks,599.0,2,est,20,-579.0
mastersmarkcleaners,599.0,31,doc,310,-289.0
nuwaydrycleaner,599.0,14,doc,140,-459.0
orchidcleaners,599.0,5,est,50,-549.0
plantengas,599.0,15,doc,150,-449.0
prestigenyc,599.0,2,est,20,-579.0
qualitycleanerstb,599.0,3,doc,30,-569.0
sacinoscleaners,599.0,7,doc,70,-529.0
scleaners,599.0,8,doc,80,-519.0
soapboxcleaners,599.0,4,est,40,-559.0
starcrestcleaners,599.0,10,est,100,-499.0
steamercleaners,599.0,22,doc,220,-379.0
styleandgracecleaners,599.0,5,doc,50,-549.0
vickscleaners,599.0,10,doc,100,-499.0
Upton,598.0,2,est,20,-578.0
h2olaundryanddrycleaning,598.0,2,est,20,-578.0
masterdrycleanersmalvern,598.0,2,est,20,-578.0
gibsonscleaners,569.05,17,doc,170,-399.05
jscleaners,569.05,4,est,40,-529.05
masterkleen,569.05,10,doc,100,-469.05
deluxedrycleaners,569.0,7,est,70,-499.0
glyndonlordbaltimore,569.0,8,est,80,-489.0
summitcleaners,569.0,19,est,190,-379.0
voguecleanersca,569.0,2,doc,20,-549.0
peppersquarecleaners,498.0,7,doc,70,-428.0
morrellsdrycleaners,434.0,4,est,40,-394.0
simpledrycleaners,434.0,3,doc,30,-404.0
superiorcleanersma,434.0,8,doc,80,-354.0
starcrestcleanersindy,299.5,2,est,20,-279.5
cressbells,299.0,3,est,30,-269.0
davisimperial,299.0,12,doc,120,-179.0
holidaycleanersofamerica,299.0,2,doc,20,-279.0
jeevesofbelgravia,299.0,9,doc,90,-209.0
pressclubdrycleaners,299.0,4,est,40,-259.0
reysdrycleaninggroup,299.0,3,est,30,-269.0
ritzcleaners,299.0,4,est,40,-259.0
sunnycleanersmb,299.0,6,doc,60,-239.0
totalcleaners,299.0,3,est,30,-269.0
townandcountryfl,299.0,3,est,30,-269.0
triangledrycleaners,299.0,1,doc,10,-289.0
saveoncleaners25,284.05,12,est,120,-164.05
hydesqualitydrycleaners,209.3,2,est,20,-189.3
parklanecleaners,199.0,3,doc,30,-169.0
snedicors,199.0,6,est,60,-139.0
washboxlaundromat,197.67,1,est,10,-187.67
